SESDATE,APPTIME,SLOT,DC
20231228,1005,1,DURHAM
20231227,1530,1,DURHAM
20231221,945,1,DURHAM
20231227,1415,1,DURHAM
20231221,1045,1,DURHAM
20231230,1030,1,DURHAM
20231228,1305,1,DURHAM
20231230,1400,1,DURHAM
20231218,900,1,DURHAM
20231221,1000,1,DURHAM
20231222,1520,1,DURHAM
20231228,910,1,DURHAM
20231229,1435,1,DURHAM
20231222,900,1,DURHAM
20231228,1045,1,DURHAM
20231229,1450,1,DURHAM
20231222,1400,1,DURHAM
20231227,1345,1,DURHAM
20231230,1415,1,DURHAM
20231230,1355,1,DURHAM
20231229,1405,1,DURHAM
20231218,905,1,DURHAM
20231221,1325,1,DURHAM
20231230,1535,1,DURHAM
20231229,920,1,DURHAM
20231230,1250,1,DURHAM
20231222,945,1,DURHAM
20231230,1000,1,DURHAM
20231222,1420,1,DURHAM
20231229,900,1,DURHAM
20231218,1405,1,DURHAM
20231222,1325,1,DURHAM
20231227,1105,1,DURHAM
20231227,1435,1,DURHAM
20231219,1020,1,DURHAM
20231228,1440,1,DURHAM
20231219,1120,1,DURHAM
20231228,835,1,DURHAM
20231228,1350,1,DURHAM
20231229,1305,1,DURHAM
20231221,1435,1,DURHAM
20231228,1530,1,DURHAM
20231221,1040,1,DURHAM
20231221,1410,1,DURHAM
20231221,1030,1,DURHAM
20231228,1540,1,DURHAM
20231219,1010,1,DURHAM
20231219,1455,1,DURHAM
20231219,1515,1,DURHAM
20231227,1020,1,DURHAM
20231218,955,1,DURHAM
20231219,845,1,DURHAM
20231218,1300,1,DURHAM
20231218,1130,1,DURHAM
20231227,1535,1,DURHAM
20231222,920,1,DURHAM
20231230,1420,1,DURHAM
20231222,1540,1,DURHAM
20231218,1120,1,DURHAM
20231228,1020,1,DURHAM
20231219,1305,1,DURHAM
20231227,1450,1,DURHAM
20231218,1555,1,DURHAM
20231227,1130,1,DURHAM
20231219,1300,1,DURHAM
20231230,830,1,DURHAM
20231230,1350,1,DURHAM
20231230,915,1,DURHAM
20231230,1305,1,DURHAM
20231221,1430,1,DURHAM
20231218,1105,1,DURHAM
20231228,1335,1,DURHAM
20231229,935,1,DURHAM
20231229,1330,1,DURHAM
20231221,840,1,DURHAM
20231222,910,1,DURHAM
20231229,1440,1,DURHAM
20231228,1130,1,DURHAM
20231218,1400,1,DURHAM
20231221,1120,1,DURHAM
20231228,1355,1,DURHAM
20231230,1555,1,DURHAM
20231230,1255,1,DURHAM
20231221,1110,1,DURHAM
20231221,1335,1,DURHAM
20231230,900,1,DURHAM
20231030,1530,1,DURHAM
20231230,1345,1,DURHAM
20231218,1255,1,DURHAM
20231228,820,2,DURHAM
20231222,1005,1,DURHAM
20231230,1410,1,DURHAM
20231218,1030,1,DURHAM
20231230,1500,1,DURHAM
20231222,1305,1,DURHAM
20231227,915,1,DURHAM
20231229,1300,1,DURHAM
20231228,1300,1,DURHAM
20231229,1410,1,DURHAM
20231228,1415,1,DURHAM
20231222,1345,1,DURHAM
20231218,1440,1,DURHAM
20231218,925,1,DURHAM
20231222,1530,1,DURHAM
20231221,1535,1,DURHAM
20231229,940,1,DURHAM
20231218,1530,1,DURHAM
20231227,1510,1,DURHAM
20231230,1105,1,DURHAM
20231221,1255,1,DURHAM
20231222,1355,1,DURHAM
20231030,1635,1,DURHAM
20230701,1540,1,DURHAM
20231227,950,1,DURHAM
20231030,1355,1,DURHAM
20230701,1455,1,DURHAM
20230701,910,1,DURHAM
20230701,1415,1,DURHAM
20231030,1400,1,DURHAM
20230701,1300,1,DURHAM
20231030,1550,1,DURHAM
20230701,945,1,DURHAM
20231229,930,1,DURHAM
20231030,1430,1,DURHAM
20230701,1000,1,DURHAM
20230701,1125,1,DURHAM
20231030,1555,1,DURHAM
20231030,1515,1,DURHAM
20231030,1120,1,DURHAM
20230701,1045,2,DURHAM
20231030,1620,1,DURHAM
20230701,940,1,DURHAM
20230701,1325,1,DURHAM
20230701,845,1,DURHAM
20231030,1615,1,DURHAM
20230701,1435,1,DURHAM
20230701,1030,1,DURHAM
20231030,1740,1,DURHAM
20230701,1335,1,DURHAM
20230701,1400,1,DURHAM
20230701,950,1,DURHAM
20231030,1500,1,DURHAM
20231030,1100,1,DURHAM
20231030,1050,1,DURHAM
20230701,830,1,DURHAM
20230701,1505,1,DURHAM
20230701,1340,1,DURHAM
20230701,850,1,DURHAM
20230701,825,2,DURHAM
20231030,1450,1,DURHAM
20231030,1055,1,DURHAM
20230701,1050,1,DURHAM
20230701,1530,1,DURHAM
20231030,1235,1,DURHAM
20231030,1310,1,DURHAM
20230701,825,1,DURHAM
20230701,1055,1,DURHAM
20230701,1345,2,DURHAM
20230701,1315,1,DURHAM
20230701,905,1,DURHAM
20230701,1410,1,DURHAM
20230701,1250,1,DURHAM
20231215,1250,1,DURHAM
20230701,1400,2,DURHAM
20231230,930,1,DURHAM
20231030,1710,1,DURHAM
20230701,1120,1,DURHAM
20230701,1010,1,DURHAM
20231030,1115,1,DURHAM
20231030,1335,1,DURHAM
20231030,1455,1,DURHAM
20231030,1650,1,DURHAM
20231030,1215,1,DURHAM
20230831,1640,1,DURHAM
20231030,1600,1,DURHAM
20230701,1005,1,DURHAM
20230914,1730,1,DURHAM
20230906,1255,1,DURHAM
20230712,1735,1,DURHAM
20230829,1710,1,DURHAM
